x	y	tooltip	clickSelects	group	xmin	xmax	ymin	ymax
-2.75	10	logFC=-2.75 -log10(p)=10 pixels= 1	logFC=-2.75 -log10(p)=10	177	-2.875	-2.625	9.5	10.5
-2.25	7	logFC=-2.25 -log10(p)=7 pixels= 1	logFC=-2.25 -log10(p)=7	162	-2.375	-2.125	6.5	7.5
-4.5	2	logFC=-4.5 -log10(p)=2 pixels= 6	logFC=-4.5 -log10(p)=2	200	-4.625	-4.375	1.5	2.5
-2.5	2	logFC=-2.5 -log10(p)=2 pixels= 12	logFC=-2.5 -log10(p)=2	169	-2.625	-2.375	1.5	2.5
-0.5	16	logFC=-0.5 -log10(p)=16 pixels= 2	logFC=-0.5 -log10(p)=16	17	-0.625	-0.375	15.5	16.5
-1	9	logFC=-1 -log10(p)=9 pixels= 18	logFC=-1 -log10(p)=9	72	-1.125	-0.875	8.5	9.5
-2.25	6	logFC=-2.25 -log10(p)=6 pixels= 2	logFC=-2.25 -log10(p)=6	161	-2.375	-2.125	5.5	6.5
-2.75	9	logFC=-2.75 -log10(p)=9 pixels= 1	logFC=-2.75 -log10(p)=9	183	-2.875	-2.625	8.5	9.5
-3.75	2	logFC=-3.75 -log10(p)=2 pixels= 1	logFC=-3.75 -log10(p)=2	194	-3.875	-3.625	1.5	2.5
-2.25	5	logFC=-2.25 -log10(p)=5 pixels= 1	logFC=-2.25 -log10(p)=5	160	-2.375	-2.125	4.5	5.5
-1	23	logFC=-1 -log10(p)=23 pixels= 2	logFC=-1 -log10(p)=23	64	-1.125	-0.875	22.5	23.5
-1	19	logFC=-1 -log10(p)=19 pixels= 5	logFC=-1 -log10(p)=19	59	-1.125	-0.875	18.5	19.5
-1	8	logFC=-1 -log10(p)=8 pixels= 10	logFC=-1 -log10(p)=8	71	-1.125	-0.875	7.5	8.5
-0.75	21	logFC=-0.75 -log10(p)=21 pixels= 2	logFC=-0.75 -log10(p)=21	40	-0.875	-0.625	20.5	21.5
-1	14	logFC=-1 -log10(p)=14 pixels= 7	logFC=-1 -log10(p)=14	54	-1.125	-0.875	13.5	14.5
-1	12	logFC=-1 -log10(p)=12 pixels= 9	logFC=-1 -log10(p)=12	52	-1.125	-0.875	11.5	12.5
-1	10	logFC=-1 -log10(p)=10 pixels= 15	logFC=-1 -log10(p)=10	50	-1.125	-0.875	9.5	10.5
-2.75	2	logFC=-2.75 -log10(p)=2 pixels= 5	logFC=-2.75 -log10(p)=2	179	-2.875	-2.625	1.5	2.5
-1.25	25	logFC=-1.25 -log10(p)=25 pixels= 1	logFC=-1.25 -log10(p)=25	90	-1.375	-1.125	24.5	25.5
-1.5	23	logFC=-1.5 -log10(p)=23 pixels= 2	logFC=-1.5 -log10(p)=23	108	-1.625	-1.375	22.5	23.5
-1.25	16	logFC=-1.25 -log10(p)=16 pixels= 7	logFC=-1.25 -log10(p)=16	81	-1.375	-1.125	15.5	16.5
-1.25	10	logFC=-1.25 -log10(p)=10 pixels= 3	logFC=-1.25 -log10(p)=10	75	-1.375	-1.125	9.5	10.5
-1.25	20	logFC=-1.25 -log10(p)=20 pixels= 1	logFC=-1.25 -log10(p)=20	86	-1.375	-1.125	19.5	20.5
-1	20	logFC=-1 -log10(p)=20 pixels= 5	logFC=-1 -log10(p)=20	61	-1.125	-0.875	19.5	20.5
1.5	1	logFC=1.5 -log10(p)=1 pixels= 1	logFC=1.5 -log10(p)=1	235	1.375	1.625	0.5	1.5
-1	24	logFC=-1 -log10(p)=24 pixels= 1	logFC=-1 -log10(p)=24	65	-1.125	-0.875	23.5	24.5
-2.75	4	logFC=-2.75 -log10(p)=4 pixels= 2	logFC=-2.75 -log10(p)=4	181	-2.875	-2.625	3.5	4.5
1	17	logFC=1 -log10(p)=17 pixels= 1	logFC=1 -log10(p)=17	228	0.875	1.125	16.5	17.5
-3	3	logFC=-3 -log10(p)=3 pixels= 1	logFC=-3 -log10(p)=3	186	-3.125	-2.875	2.5	3.5
-5.25	4	logFC=-5.25 -log10(p)=4 pixels= 2	logFC=-5.25 -log10(p)=4	204	-5.375	-5.125	3.5	4.5
-1.25	15	logFC=-1.25 -log10(p)=15 pixels= 5	logFC=-1.25 -log10(p)=15	80	-1.375	-1.125	14.5	15.5
-1.75	27	logFC=-1.75 -log10(p)=27 pixels= 1	logFC=-1.75 -log10(p)=27	126	-1.875	-1.625	26.5	27.5
-1.75	13	logFC=-1.75 -log10(p)=13 pixels= 1	logFC=-1.75 -log10(p)=13	119	-1.875	-1.625	12.5	13.5
-1.75	12	logFC=-1.75 -log10(p)=12 pixels= 2	logFC=-1.75 -log10(p)=12	118	-1.875	-1.625	11.5	12.5
-1.25	18	logFC=-1.25 -log10(p)=18 pixels= 1	logFC=-1.25 -log10(p)=18	83	-1.375	-1.125	17.5	18.5
-1	13	logFC=-1 -log10(p)=13 pixels= 6	logFC=-1 -log10(p)=13	53	-1.125	-0.875	12.5	13.5
-1.25	14	logFC=-1.25 -log10(p)=14 pixels= 3	logFC=-1.25 -log10(p)=14	79	-1.375	-1.125	13.5	14.5
-1.5	11	logFC=-1.5 -log10(p)=11 pixels= 2	logFC=-1.5 -log10(p)=11	99	-1.625	-1.375	10.5	11.5
-1	16	logFC=-1 -log10(p)=16 pixels= 6	logFC=-1 -log10(p)=16	56	-1.125	-0.875	15.5	16.5
-3.75	4	logFC=-3.75 -log10(p)=4 pixels= 1	logFC=-3.75 -log10(p)=4	195	-3.875	-3.625	3.5	4.5
-1	22	logFC=-1 -log10(p)=22 pixels= 4	logFC=-1 -log10(p)=22	63	-1.125	-0.875	21.5	22.5
-2.5	6	logFC=-2.5 -log10(p)=6 pixels= 1	logFC=-2.5 -log10(p)=6	172	-2.625	-2.375	5.5	6.5
-2.5	3	logFC=-2.5 -log10(p)=3 pixels= 2	logFC=-2.5 -log10(p)=3	170	-2.625	-2.375	2.5	3.5
-2.25	11	logFC=-2.25 -log10(p)=11 pixels= 1	logFC=-2.25 -log10(p)=11	153	-2.375	-2.125	10.5	11.5
-2.5	8	logFC=-2.5 -log10(p)=8 pixels= 1	logFC=-2.5 -log10(p)=8	174	-2.625	-2.375	7.5	8.5
